Type,Origin attribute,Predicate,Object type,Class,Input source
Country,id,,Subject,,Country @ EHRI Portal Search API
,name,schema:name,Literal,schema:Country,Country @ EHRI Portal Search API
,name,rdfs:label,Literal,,Country @ EHRI Portal Search API
,name,rico:name,Literal,rico:Place,Country @ EHRI Portal Search API
,,owl:sameAs,IRI -> dbo:Place,,Country @ EHRI Portal Search API
,history,ehri:history,Literal,TBD,Country @ EHRI Portal Search API
,situation,ehri:situation,Literal,TBD,Country @ EHRI Portal Search API
,summary,ehri:summary,Literal,TBD,Country @ EHRI Portal Search API
,extensive,ehri:extensive,Literal,TBD,Country @ EHRI Portal Search API
,id (organization),rico:containsOrContained,IRI (as ehri_institution:_),rico:Place,Repository @ EHRI Portal Search API
Institution,id,,Subject,,Repository @ EHRI Portal Search API
,name,rdfs:label,Literal,,Repository @ EHRI Portal Search API
,fax,schema:faxNumber,Literal,schema:ArchiveOrganization,Repository @ EHRI Portal Search API
,telephone,schema:telephone,Literal,schema:ArchiveOrganization,Repository @ EHRI Portal Search API
,email,schema:email,Literal,schema:ArchiveOrganization,Repository @ EHRI Portal Search API
,openingTimes,schema:openingHours,Literal,schema:ArchiveOrganization,Repository @ EHRI Portal Search API
,history,rico:history,Literal,rico:CoporateBody,Repository @ EHRI Portal Search API
,descriptiveNote,rico:descriptiveNote,Literal,rico:CoporateBody,Repository @ EHRI Portal Search API
,conditions,ehri:conditions,Literal,TBD,Repository @ EHRI Portal Search API
,reproductionServices,ehri:reproductionServices,Literal,TBD,Repository @ EHRI Portal Search API
,generalContext,ehri:generalContext,Literal,TBD,Repository @ EHRI Portal Search API
,url,owl:sameAs,IRI,,Repository @ EHRI Portal Search API
,instantiation_id (holding_id + local_id),rico:isOrWasHolderOf,IRI (as ehri_instantiation:_),,Holding @ EHRI Portal Search API
,,rico:hasOrHadLocation,IRI -> InstitutionLocation,,Repository @ EHRI Portal Search API
,,rico:hasAgentName,IRI -> InstitutionName,,Repository @ EHRI Portal Search API
,,rico:hasAgentName,IRI -> InstitutionParallelName,,Repository @ EHRI Portal Search API
,,rico:hasAgentName,IRI -> InstitutionOtherName,,Repository @ EHRI Portal Search API
,,rico:authorizedBy,IRI -> Mandate,,Repository @ EHRI Portal Search API
InstitutionLocation,artificially generated id as Bnode,,Subject as Bnode,,
,"lat + "", "" + long",rico:geographicalCoordinates,Literal,rico:Place,Repository @ EHRI Portal Search API
,country.data.id,schema:addressCountry,IRI (as ehri_country:_),schema:PostalAddress,Repository @ EHRI Portal Search API
,country.data.id,rico:isOrWasContainedBy,IRI (as ehri_country:_),rico:Place,Repository @ EHRI Portal Search API
,region,schema:addressRegion,Literal,schema:PostalAddress,Repository @ EHRI Portal Search API
,postalCode,schema:postalCode,Literal,schema:PostalAddress,Repository @ EHRI Portal Search API
,"streetAddress + "", "" + city",rico:location,Literal,,Repository @ EHRI Portal Search API
InstitutionName,artificially generated id as Bnode,,,,
,name,rdfs:label,Literal,rico:AgentName,Repository @ EHRI Portal Search API
InstitutionParallelName,artificially generated id as Bnode,,,,
,parallelFormsOfName,rdfs:label,Literal,rico:AgentName,Repository @ EHRI Portal Search API
InstitutionOtherName,artificially generated id as Bnode,,,,
,otherFormsOfName,rdfs:label,Literal,rico:AgentName,Repository @ EHRI Portal Search API
Mandate,artificially generated id as Bnode,,,,
,mandates,rdf:value,Literal,rico:Mandate,
Holding,id,,Subject,rico:Record,Holding @ EHRI Portal Search API
,,rico:hasDocumentaryFormType,IRI (constant: https://www.ica.org/standards/RiC/vocabularies/documentaryFormTypes#findingAid,rico:Record,Holding @ EHRI Portal Search API
,name,rico:title,Literal,rico:Record,Holding @ EHRI Portal Search API
,name,rdfs:label,Literal,rico:Record,Holding @ EHRI Portal Search API
,parallelFormsOfName,rico:title,Literal,rico:Record,Holding @ EHRI Portal Search API
,parallelFormsOfName,rdfs:label,Literal,rico:Record,Holding @ EHRI Portal Search API
,abstract,rico:scopeAndContent,Literal,rico:Record,Holding @ EHRI Portal Search API
,extentAndMedium,rico:recordResourceExtent,Literal,rico:Record,Holding @ EHRI Portal Search API
,systemOfArrangement,rico:recordResourceStructure,Literal,rico:Record,Holding @ EHRI Portal Search API
,unitDates,rico:date,Literal,rico:Record,Holding @ EHRI Portal Search API
,parent.id,rico:isOrWasIncludedIn,IRI (as ehri_units:_),rico:Record,Holding @ EHRI Portal Search API
,id,rico:includesOrIncluded,IRI (as ehri_units:_),rico:Record,Holding @ EHRI Portal Search API
,identifier,rico:hasOrHadSubject,IRI (as ehri_terms:_),rico:Record,CvocVocabulary @ EHRI GraphQL API
